Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note on                 3, note 48, velocity 110
129:0   Note on                 5, note 60, velocity 25
129:0   Note off                0, note 60, velocity 106
129:0   Note off                1, note 48, velocity 87
129:0   Note off                2, note 48, velocity 78
129:0   Note off                3, note 48, velocity 110
129:0   Note off                5, note 60, velocity 100
129:0   Note on                 0, note 62, velocity 88
129:0   Note on                 1, note 50, velocity 80
129:0   Note on                 2, note 50, velocity 72
129:0   Note on                 3, note 50, velocity 110
129:0   Note on                 5, note 62, velocity 29
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 62, velocity 106
129:0   Note off                1, note 50, velocity 87
129:0   Note off                2, note 50, velocity 78
129:0   Note off                3, note 50, velocity 110
129:0   Note off                5, note 62, velocity 100
129:0   Note on                 0, note 64, velocity 88
129:0   Note on                 1, note 52, velocity 77
129:0   Note on                 2, note 52, velocity 69
129:0   Note on                 3, note 52, velocity 110
129:0   Note on                 5, note 64, velocity 34
129:0   Note off                0, note 64, velocity 106
129:0   Note off                1, note 52, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                2, note 52, velocity 78
129:0   Note off                3, note 52, velocity 110
129:0   Note off                5, note 64, velocity 100
129:0   Note on                 0, note 65, velocity 88
129:0   Note on                 1, note 53, velocity 73
129:0   Note on                 2, note 53, velocity 66
129:0   Note on                 3, note 53, velocity 109
129:0   Note on                 5, note 65, velocity 39
129:0   Note off                0, note 65, velocity 106
129:0   Note off                1, note 53, velocity 87
129:0   Note off                2, note 53, velocity 78
129:0   Note off                3, note 53, velocity 110
129:0   Note off                5, note 65, velocity 100
129:0   Note on                 0, note 67, velocity 88
129:0   Note on                 1, note 55, velocity 70
129:0   Note on                 2, note 55, velocity 63
129:0   Note on                 3, note 55, velocity 104
129:0   Note on                 5, note 67, velocity 43
129:0   Note off                0, note 67, velocity 106
129:0   Note off                1, note 55, velocity 87
129:0   Note off                2, note 55, velocity 78
129:0   Note off                3, note 55, velocity 110
129:0   Note off                5, note 67, velocity 100
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 57, velocity 66
129:0   Note on                 2, note 57, velocity 60
129:0   Note on                 3, note 57, velocity 99
129:0   Note on                 5, note 69, velocity 48
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 69, velocity 106
129:0   Note off                1, note 57, velocity 87
129:0   Note off                2, note 57, velocity 78
129:0   Note off                3, note 57, velocity 110
129:0   Note off                5, note 69, velocity 100
129:0   Note on                 0, note 71, velocity 88
129:0   Note on                 1, note 59, velocity 63
129:0   Note on                 2, note 59, velocity 56
129:0   Note on                 3, note 59, velocity 93
129:0   Note on                 5, note 71, velocity 53
129:0   Note off                0, note 71, velocity 106
129:0   Note off                1, note 59, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                2, note 59, velocity 78
129:0   Note off                3, note 59, velocity 110
129:0   Note off                5, note 71, velocity 100
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 60, velocity 60
129:0   Note on                 2, note 60, velocity 53
129:0   Note on                 3, note 60, velocity 88
129:0   Note on                 5, note 72, velocity 57
129:0   Note off                0, note 72, velocity 106
129:0   Note off                1, note 60, velocity 87
129:0   Note off                2, note 60, velocity 78
129:0   Note off                3, note 60, velocity 110
129:0   Note off                5, note 72, velocity 100
129:0   Note on                 0, note 74, velocity 88
129:0   Note on                 1, note 62, velocity 56
129:0   Note on                 2, note 62, velocity 50
129:0   Note on                 3, note 62, velocity 83
129:0   Note on                 5, note 74, velocity 62
129:0   Note off                0, note 74, velocity 106
129:0   Note off                1, note 62, velocity 87
129:0   Note off                2, note 62, velocity 78
129:0   Note off                3, note 62, velocity 110
129:0   Note off                5, note 74, velocity 100
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 64, velocity 53
129:0   Note on                 2, note 64, velocity 47
129:0   Note on                 3, note 64, velocity 78
129:0   Note on                 5, note 76, velocity 67
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 76, velocity 106
129:0   Note off                1, note 64, velocity 87
129:0   Note on                 1, note 65, velocity 50
129:0   Note off                2, note 64, velocity 78
129:0   Note on                 2, note 65, velocity 45
129:0   Note off                3, note 64, velocity 110
129:0   Note on                 3, note 65, velocity 74
129:0   Note off                5, note 76, velocity 100
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 65, velocity 87
129:0   Note on                 1, note 67, velocity 48
129:0   Note off                2, note 65, velocity 78
129:0   Note on                 2, note 67, velocity 43
129:0   Note off                3, note 65, velocity 110
129:0   Note on                 3, note 67, velocity 73
129:0   Note on                 5, note 79, velocity 73
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 79, velocity 106
129:0   Note off                1, note 67, velocity 87
129:0   Note off                2, note 67, velocity 78
129:0   Note off                3, note 67, velocity 110
129:0   Note off                5, note 79, velocity 64
129:0   Note on                 0, note 81, velocity 88
129:0   Note on                 1, note 69, velocity 45
129:0   Note on                 2, note 69, velocity 40
129:0   Note on                 3, note 69, velocity 67
129:0   Note on                 5, note 81, velocity 78
129:0   Note off                0, note 81, velocity 106
129:0   Note off                1, note 69, velocity 87
129:0   Note off                2, note 69, velocity 78
129:0   Note off                3, note 69, velocity 110
129:0   Note off                5, note 81, velocity 100
129:0   Note on                 0, note 82, velocity 88
129:0   Note on                 1, note 70, velocity 42
129:0   Note on                 2, note 70, velocity 38
129:0   Note on                 3, note 70, velocity 62
129:0   Note on                 5, note 82, velocity 83
129:0   Note off                0, note 82, velocity 106
129:0   Note off                1, note 70, velocity 87
129:0   Note off                2, note 70, velocity 78
129:0   Note off                3, note 70, velocity 110
129:0   Note off                5, note 82, velocity 100
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 72, velocity 40
129:0   Note on                 2, note 72, velocity 35
129:0   Note on                 3, note 72, velocity 59
129:0   Note on                 5, note 84, velocity 87
129:0   Note off                0, note 84, velocity 106
129:0   Note off                1, note 72, velocity 87
129:0   Note off                2, note 72, velocity 78
129:0   Note off                3, note 72, velocity 110
129:0   Note off                5, note 84, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 74, velocity 37
129:0   Note on                 2, note 74, velocity 33
129:0   Note on                 3, note 74, velocity 55
129:0   Note on                 5, note 86, velocity 92
129:0   Note off                0, note 86, velocity 106
129:0   Note off                1, note 74, velocity 87
129:0   Note off                2, note 74, velocity 78
129:0   Note off                3, note 74, velocity 110
129:0   Note off                5, note 86, velocity 100
129:0   Note on                 1, note 79, velocity 34
129:0   Note on                 2, note 79, velocity 31
129:0   Note on                 3, note 79, velocity 52
129:0   Note on                 0, note 91, velocity 88
129:0   Note on                 0, note 103, velocity 88
129:0   Note off                1, note 79, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                2, note 79, velocity 78
129:0   Note off                3, note 79, velocity 110
129:0   Note on                 5, note 91, velocity 100
129:0   Note on                 5, note 103, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 46, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 46, velocity 78
129:0   Note on                 3, note 46, velocity 110
129:0   Note off                0, note 91, velocity 106
129:0   Note off                0, note 103, velocity 106
129:0   Note off                5, note 91, velocity 100
129:0   Note off                5, note 103, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                1, note 46, velocity 87
129:0   Note off                2, note 46, velocity 78
129:0   Note off                3, note 46, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 1, note 38, velocity 87
129:0   Note on                 2, note 38, velocity 78
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                1, note 38, velocity 87
129:0   Note off                2, note 38, velocity 78
129:0   Note off                3, note 38, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 86, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 88, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 88, velocity 106
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 84, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 72, velocity 106
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 86, velocity 106
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                0, note 67, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                0, note 69, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 76, velocity 88
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 83, velocity 88
129:0   Note off                0, note 83, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 78, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 78, velocity 106
129:0   Note on                 0, note 88, velocity 88
129:0   Note off                0, note 88, velocity 106
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 83, velocity 88
129:0   Note off                0, note 83, velocity 106
129:0   Note on                 0, note 94, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 94, velocity 106
129:0   Note on                 0, note 90, velocity 88
129:0   Note off                0, note 90, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 73, velocity 106
129:0   Note on                 0, note 90, velocity 88
129:0   Note off                0, note 90, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note on                 0, note 87, velocity 88
129:0   Note off                0, note 75, velocity 106
129:0   Note off                0, note 87, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 73, velocity 88
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                0, note 73, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note on                 0, note 87, velocity 88
129:0   Note off                0, note 73, velocity 106
129:0   Note off                0, note 87, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note off                0, note 72, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 74, velocity 88
129:0   Note off                0, note 74, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note on                 0, note 87, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 75, velocity 106
129:0   Note off                0, note 87, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                0, note 73, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 75, velocity 88
129:0   Note on                 0, note 87, velocity 88
129:0   Note off                0, note 75, velocity 106
129:0   Note off                0, note 87, velocity 106
129:0   Note on                 0, note 74, velocity 88
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 74, velocity 106
129:0   Note off                0, note 86, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 72, velocity 106
129:0   Note off                0, note 84, velocity 106
129:0   Note on                 0, note 71, velocity 88
129:0   Note on                 0, note 83, velocity 88
129:0   Note off                0, note 71, velocity 106
129:0   Note off                0, note 83, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 0, note 98, velocity 88
129:0   Note on                 4, note 98, velocity 106
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 98, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 97, velocity 106
129:0   Note on                 4, note 98, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 65, velocity 88
129:0   Note off                4, note 97, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 65, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                0, note 85, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 86, velocity 106
129:0   Note on                 0, note 98, velocity 88
129:0   Note on                 4, note 98, velocity 106
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 98, velocity 88
129:0   Note off                4, note 97, velocity 106
129:0   Note on                 4, note 98, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 65, velocity 88
129:0   Note off                4, note 97, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 65, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 86, velocity 106
129:0   Note on                 0, note 98, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 4, note 98, velocity 106
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 98, velocity 88
129:0   Note off                4, note 97, velocity 106
129:0   Note on                 4, note 98, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note on                 5, note 98, velocity 100
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 98, velocity 106
129:0   Note on                 0, note 97, velocity 88
129:0   Note off                4, note 98, velocity 106
129:0   Note on                 4, note 97, velocity 106
129:0   Note off                5, note 98, velocity 100
129:0   Note on                 5, note 97, velocity 100
129:0   Note off                0, note 97, velocity 106
129:0   Note on                 0, note 65, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 97, velocity 106
129:0   Note on                 4, note 101, velocity 106
129:0   Note off                5, note 97, velocity 100
129:0   Note off                0, note 65, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                4, note 101, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 101, velocity 106
129:0   Note off                4, note 101, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 94, velocity 106
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 94, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                4, note 102, velocity 106
129:0   Note on                 4, note 103, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 103, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 105, velocity 83
129:0   Note on                 4, note 112, velocity 83
129:0   Note off                0, note 69, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 74, velocity 88
129:0   Note off                4, note 105, velocity 106
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                0, note 74, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 66, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                0, note 66, velocity 106
129:0   Note on                 0, note 71, velocity 88
129:0   Note off                4, note 102, velocity 106
129:0   Note on                 4, note 107, velocity 106
129:0   Note off                0, note 71, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 107, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                0, note 73, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
